City ID,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,atuona,PF,-9.8,-139.0333,78.78,75,9,20.65,02-01-2022
1,bredasdorp,ZA,-34.5322,20.0403,69.12,88,27,9.22,02-01-2022
2,taoudenni,ML,22.6783,-3.9836,63.54,8,13,11.52,02-01-2022
3,vaini,TO,-21.2,-175.2,84.36,79,40,10.36,02-01-2022
4,hilo,US,19.7297,-155.09,68.83,84,0,4.61,02-01-2022
5,puerto escondido,MX,15.85,-97.0667,76.03,79,0,7.25,02-01-2022
6,salalah,OM,17.0151,54.0924,71.69,46,0,4.61,02-01-2022
7,banyliv,UA,48.3661,25.3455,25.75,83,94,4.0,02-01-2022
8,busselton,AU,-33.65,115.3333,80.04,30,0,10.29,02-01-2022
9,hermanus,ZA,-34.4187,19.2345,73.8,82,2,6.17,02-01-2022
10,port alfred,ZA,-33.5906,26.891,77.4,85,100,3.74,02-01-2022
11,tiksi,RU,71.6872,128.8694,-10.8,100,100,5.32,02-01-2022
12,jalu,LY,29.0331,21.5482,50.04,68,2,9.73,02-01-2022
13,kavaratti,IN,10.5669,72.642,80.71,69,6,5.73,02-01-2022
14,komsomolskiy,UZ,40.4272,71.7189,36.28,75,35,2.3,02-01-2022
15,gulu,UG,2.7746,32.299,70.99,61,93,3.71,02-01-2022
16,vao,NC,-22.6667,167.4833,78.06,84,80,10.33,02-01-2022
17,coruripe,BR,-10.1256,-36.1756,77.11,81,10,6.67,02-01-2022
18,constitucion,CL,-35.3333,-72.4167,56.93,74,0,3.51,02-01-2022
19,albany,US,42.6001,-73.9662,9.28,75,6,1.72,02-01-2022
20,macaubas,BR,-13.0194,-42.6986,67.5,91,97,1.39,02-01-2022
21,kysyl-syr,RU,63.8986,122.7617,-19.39,96,75,5.61,02-01-2022
22,khatanga,RU,71.9667,102.5,-29.97,100,16,4.03,02-01-2022
23,codrington,AU,-38.2667,141.9667,61.43,60,93,21.03,02-01-2022
24,alice springs,AU,-23.7,133.8833,85.55,70,75,6.91,02-01-2022
25,tunceli,TR,39.1083,39.5471,36.46,97,100,2.46,02-01-2022
26,rikitea,PF,-23.1203,-134.9692,78.31,65,71,7.67,02-01-2022
27,saint-augustin,CA,51.226,-58.6502,-2.87,94,37,8.12,02-01-2022
28,ushuaia,AR,-54.8,-68.3,40.66,87,75,21.85,02-01-2022
29,plettenberg bay,ZA,-34.0527,23.3716,75.74,72,100,3.0,02-01-2022
30,bay roberts,CA,47.5999,-53.2648,30.85,70,52,8.01,02-01-2022
31,cabuyaro,CO,4.2817,-72.794,83.44,36,100,4.83,02-01-2022
32,sioux lookout,CA,50.1001,-91.917,23.07,93,100,10.36,02-01-2022
33,barra do bugres,BR,-15.0725,-57.1811,69.39,98,100,3.09,02-01-2022
34,kachug,RU,53.9606,105.8817,-3.59,92,97,1.39,02-01-2022
35,bethel,US,41.3712,-73.414,13.19,69,0,0.0,02-01-2022
36,mataura,NZ,-46.1927,168.8643,82.85,40,100,1.83,02-01-2022
37,hobart,AU,-42.8794,147.3294,74.98,41,0,17.27,02-01-2022
38,gambela,ET,8.25,34.5833,76.66,34,6,2.33,02-01-2022
39,new norfolk,AU,-42.7826,147.0587,67.91,41,38,7.0,02-01-2022
40,cape town,ZA,-33.9258,18.4232,68.88,89,5,6.04,02-01-2022
41,rawson,AR,-43.3002,-65.1023,70.97,32,3,16.46,02-01-2022
42,qaanaaq,GL,77.484,-69.3632,-19.64,54,11,10.18,02-01-2022
43,provideniya,RU,64.3833,-173.3,8.71,61,40,17.9,02-01-2022
44,ca mau,VN,9.1769,105.15,86.79,57,63,14.36,02-01-2022
